Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Enfield,Enfield Highway,31,3500.0,849,5857,36850,13.4,30.1,35.0,1388,86.2,89,5.9,40.6
Enfield,Enfield Lock,31,5015.2,884,6325,37780,13.6,26.5,39.7,1060,64.0,89,5.5,39.6
Enfield,Grange,41,3878.8,336,5254,58640,5.6,16.1,9.1,895,69.9,26,4.1,27.4
Enfield,Haselbury,32,9083.3,1283,5813,37020,13.3,27.2,33.9,1121,68.6,96,6.3,27.0
Enfield,Highlands,41,2558.8,299,5521,55140,6.1,18.7,14.7,562,43.1,18,4.6,56.5
Enfield,Jubilee,34,3705.1,905,5342,38450,11.4,28.5,31.7,823,57.0,68,6.5,60.6
Enfield,Lower Edmonton,31,7545.5,1189,6086,35300,13.8,28.5,38.6,1089,65.6,74,6.4,40.6
Enfield,Palmers Green,35,8026.3,1048,5791,47480,8.6,20.6,18.4,1143,75.0,31,5.5,15.4
Enfield,Ponders End,30,4500.0,1077,5680,35810,14.0,26.9,34.4,1386,88.0,85,5.9,44.5
Enfield,Southbury,32,5034.5,663,5521,41440,11.0,24.6,32.0,1425,97.6,89,5.1,29.3
Enfield,Southgate,36,5370.4,691,5909,52310,7.9,16.1,16.3,804,55.4,36,4.7,27.2
Enfield,Southgate Green,38,5326.9,723,5154,54020,7.2,16.3,14.7,916,66.1,61,4.7,20.6
Enfield,Town,39,6818.2,264,6039,53390,6.4,17.4,14.1,828,55.2,24,4.1,16.0
Enfield,Turkey Street,32,6282.6,750,5328,36270,13.4,30.2,39.5,1037,71.8,95,6.2,30.5
Enfield,Upper Edmonton,31,6463.0,1412,6222,35720,14.0,28.3,33.7,2070,118.6,152,6.4,17.6
Enfield,Winchmore Hill,39,4821.4,435,5349,58520,6.0,15.4,9.1,733,54.3,32,4.0,25.2
Greenwich,Abbey Wood,32,5833.3,455,5964,39630,13.0,25.3,30.1,1202,76.3,75,6.3,43.9
Greenwich,Blackheath Westcombe,37,6166.7,314,6075,63690,5.7,12.1,12.7,986,76.1,24,4.4,15.5
Greenwich,Charlton,33,7225.0,538,5739,47740,10.3,20.8,25.8,854,59.1,38,6.1,31.6
Greenwich,Coldharbour and New Eltham,40,5240.0,185,5175,48340,7.5,25.4,18.3,762,58.2,22,5.8,20.0
Greenwich,Eltham North,41,4826.9,176,5139,54840,6.2,20.0,11.3,755,60.2,43,4.9,24.6
Greenwich,Eltham South,34,2739.1,233,5067,46660,9.4,21.5,21.0,1163,92.3,49,4.9,54.6
Greenwich,Eltham West,35,4354.2,244,3816,42970,11.3,30.8,28.0,865,82.8,51,7.3,30.5
Greenwich,Glyndon,31,10735.3,932,6743,39810,14.6,21.4,29.4,1139,62.4,52,5.7,32.6
Greenwich,Greenwich West,31,5928.6,686,7090,53640,9.2,12.8,24.2,2043,123.1,201,3.9,49.0
